product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,valid_dimension_count,fully_missing_measurements,partially_missing_measurements
2-in-1-jumper#Navy,120.0,118.0,126.0,71.0,65.0,5,False,False
2-in-1-layered-knit-top#Khaki,114.0,124.0,138.0,61.0,56.0,5,False,False
2-in-1-layered-knit-top#Navy,114.0,124.0,138.0,61.0,56.0,5,False,False
2-in-1-layered-knit-top#PalePink,114.0,124.0,138.0,61.0,56.0,5,False,False
2-in-1-layered-top-1#NavyWhite,120.0,,140.0,67.0,67.0,4,False,True
2-in-1-layered-top-1#PinkWhite,120.0,,140.0,67.0,67.0,4,False,True
34-sleeve-shirt-1#SkyWhite,96.0,96.0,106.0,83.0,59.0,5,False,False
abigail-stripe-shirt#BlackStrip,124.0,128.0,146.0,64.0,68.0,5,False,False
adventurous-hoody#Pink,132.0,116.0,58.0,71.0,80.0,5,False,False
agra-shirt#White,110.0,120.0,124.0,62.0,63.0,5,False,False
aida-long-tunic-shirt#AidaStripe,102.0,110.0,118.0,88.0,69.0,5,False,False
aigli-top#Navy,110.0,100.0,134.0,62.0,55.0,5,False,False
aigli-top#White,110.0,100.0,134.0,62.0,55.0,5,False,False
alberta-stripe-top#IvoryStrip,106.0,116.0,120.0,67.0,68.0,5,False,False
aldis-blouse#Pearl,120.0,136.0,146.0,58.0,46.0,5,False,False
ally-long-sleeve-tee#CosmosPr,88.0,86.0,94.0,64.0,71.0,5,False,False
always-mine-spliced-cardigan#GreyEmeral,120.0,115.0,120.0,85.0,74.0,5,False,False
always-mine-v-neck-knit#Terracotta,112.0,112.0,112.0,61.0,69.0,5,False,False
amira-sweater#Cream,104.0,104.0,96.0,56.0,69.0,5,False,False
analia-jersey-top#Black,100.0,102.0,116.0,67.0,20.0,5,False,False
analia-jersey-top#Navy,100.0,102.0,116.0,67.0,20.0,5,False,False
analia-top#White,90.0,92.0,100.0,68.0,,4,False,True
animal-button-up-shirt#KhakiPrint,108.0,,116.0,70.0,70.0,4,False,True
animal-knit-1#Animal,116.0,116.0,124.0,64.0,65.0,5,False,False
anna-top#Leona,104.0,142.0,160.0,59.0,62.0,5,False,False
annabelle-sweater#Midnight,160.0,160.0,160.0,70.0,60.0,5,False,False
arizona-off-the-shoulder-top#Khaki,100.0,110.0,110.0,58.0,43.0,5,False,False
arlo-cardigan#Navy,106.0,108.0,108.0,107.0,68.0,5,False,False
art-deco-print-top#NavyWhite,115.0,96.0,135.0,76.0,53.0,5,False,False
arya-frilled-blouse#Oyster,110.0,114.0,122.0,69.0,74.0,5,False,False
ashbury-cardigan#Mocha,102.0,108.0,102.0,56.0,70.0,5,False,False
ava-short-sleeve-linen-tee#Blush,112.0,110.0,115.0,63.0,36.0,5,False,False
ava-short-sleeve-linen-tee#Navy,112.0,110.0,115.0,63.0,36.0,5,False,False
aztec-cardigan#BlackIvory,104.0,95.0,104.0,78.0,72.0,5,False,False
aztec-cardigan#Orange,104.0,95.0,104.0,78.0,72.0,5,False,False
back-to-you-top#BlackMagic,92.0,90.0,90.0,72.0,55.0,5,False,False
back-to-you-top#Rust,92.0,90.0,90.0,72.0,55.0,5,False,False
bamboo-layer-tank#Black,72.0,74.0,72.0,67.0,,4,False,True
bamboo-layer-tank#Chalk,72.0,74.0,72.0,67.0,,4,False,True
baobab-sweater#Bark,124.0,,148.0,76.0,70.0,4,False,True
batty-about-you-cotton-tee#BlkWhite,142.0,134.0,130.0,68.0,66.0,5,False,False
be-mine-top-1#Sage,,139.0,176.0,68.0,35.0,4,False,True
beach-walk-shirt#Khaki,180.0,,,100.0,68.0,3,False,True
beach-walk-shirt#Stormy,180.0,,,100.0,68.0,3,False,True
bella-ls-tee#GreenWhite,100.0,102.0,112.0,71.0,52.0,5,False,False
belle-cowl-swing-sweater#Black,98.0,98.0,114.0,70.0,69.0,5,False,False
belle-cowl-swing-sweater#Green,98.0,98.0,114.0,70.0,69.0,5,False,False
belle-deep-v-mesh-top#Black,164.0,134.0,116.0,68.0,65.0,5,False,False
belle-drape-tee#Black,129.0,119.0,131.0,71.0,79.0,5,False,False
belle-drape-tee#Sliver,129.0,119.0,131.0,71.0,79.0,5,False,False
belle-flocked-tunic#Pale%20Blue,161.0,157.0,163.0,75.0,39.0,5,False,False
belle-flocked-tunic#White,161.0,157.0,163.0,75.0,39.0,5,False,False
belle-flute-sleeve-tee#Navy,124.0,175.0,176.0,70.0,62.0,5,False,False
belle-half-sleeve-boat-tee#Black,111.0,107.0,121.0,58.0,41.0,5,False,False
belle-half-sleeve-boat-tee#White,111.0,107.0,121.0,58.0,41.0,5,False,False
belle-half-sleeve-forgiver-tunic#Apricot,127.0,117.0,125.0,84.0,52.0,5,False,False
belle-half-sleeve-forgiver-tunic#Black,127.0,117.0,125.0,84.0,52.0,5,False,False
belle-half-sleeve-forgiver-tunic#BlueBonnet,127.0,117.0,125.0,84.0,52.0,5,False,False
belle-half-sleeve-forgiver-tunic#FlamPink,127.0,117.0,125.0,84.0,52.0,5,False,False
belle-half-sleeve-forgiver-tunic#MutedClay,127.0,117.0,125.0,84.0,52.0,5,False,False
belle-half-sleeve-forgiver-tunic#White,127.0,117.0,125.0,84.0,52.0,5,False,False
