person_id,positive_product_id,negative_product_id,negative_type,negative_distance,label_positive,label_negative
Alex,jade-kimono-kaleidoscope#Blue,the-boat-neck-top#Black,hard,0.35763269397428876,1,0
Alex,jade-kimono-kaleidoscope#Blue,luxe-shirt#Navy,semi-hard,0.5032754956126603,1,0
Alex,jade-kimono-kaleidoscope#Blue,natural-classic-cardigan#Pebble,random,0.31249288528982017,1,0
Alex,jade-kimono-sweet-blossoms#Blue,manhattan-stretch-tee#Black,hard,0.341821937906708,1,0
Alex,jade-kimono-sweet-blossoms#Blue,always-mine-spliced-cardigan#GreyEmeral,semi-hard,0.5271330132590908,1,0
Alex,jade-kimono-sweet-blossoms#Blue,the-contrast-trim-knit#BlackWhite,random,0.5507662835249043,1,0
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,pure-merino-fine-rib-polo#BlackStri,hard,0.251496720605916,1,0
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,natural-waterfall-cardigan#Fallendust,semi-hard,0.5287356321839081,1,0
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,long-sleeve-softly-swinging-bamboo-tee#Storm,random,0.6296823869111944,1,0
Alex,lola-bell-sleeve-top-entangled-vines#Gold,mila-knit-cardigan#Clay,hard,0.3309924231260438,1,0
Alex,lola-bell-sleeve-top-entangled-vines#Gold,natural-overlay-knit#Greybloss,semi-hard,0.5904063298699315,1,0
Alex,lola-bell-sleeve-top-entangled-vines#Gold,fundamental-split-hoodie-1#Khaki,random,0.6919169375616934,1,0
Alex,the-batwing-tee#Black,eco-78-long-cardigan#DarkGreyM,hard,0.3458925267474118,1,0
Alex,the-batwing-tee#Black,natural-cosy-sweater#Rosered,semi-hard,0.5958918688803747,1,0
Alex,the-batwing-tee#Black,relaxed-top-1#FloraStrip,random,0.6544274159216688,1,0
Alex,the-batwing-tee#FrenchBlue,the-reversible-cowl-neck-top-2#Ocean,hard,0.2757523879111523,1,0
Alex,the-batwing-tee#FrenchBlue,wellington-tee#HeatheGrey,semi-hard,0.5907192065597238,1,0
Alex,the-batwing-tee#FrenchBlue,the-daily-cross-over-top#PinkPrint,random,0.632183908045977,1,0
Alex,the-batwing-tee#Sea,holly-rib-long-sleeve-tee#Khaki,hard,0.2607260469149837,1,0
Alex,the-batwing-tee#Sea,panelled-stripe-top#NavyWhite,semi-hard,0.5162322843716523,1,0
Alex,the-batwing-tee#Sea,millie-top#WhiteBlk,random,0.42041965192108866,1,0
Alex,the-batwing-tee#Stone,merino-boyfriend-cardigan#MelangeStr,hard,0.3713223770695035,1,0
Alex,the-batwing-tee#Stone,the-tie-front-tank#White,semi-hard,0.5738825799440024,1,0
Alex,the-batwing-tee#Stone,the-twist-front-top#Navy,random,0.8140121682985667,1,0
Alex,the-cotton-bamboo-tank#Chambray,elina-lace-frill-blouse#Black,hard,0.31760603500905227,1,0
Alex,the-cotton-bamboo-tank#Chambray,sequin-star-tee#Navy,semi-hard,0.5632150283730744,1,0
Alex,the-cotton-bamboo-tank#Chambray,softly-swinging-bamboo-singlet#Cashew,random,0.6184774858894829,1,0
Alex,the-cotton-bamboo-tank#DarkNavy,leah-knit-cardigan#Black,hard,0.35153366349487036,1,0
