product_id,product_name,product_color_raw,category,style,pattern,material,silhouette,sleeve_type,neckline,length_style,color,category_count,style_count,pattern_count,material_count,semantic_token_count,is_striped,is_floral,is_animal_print,is_checked,is_sequin,is_knit,is_stretch,is_relaxed,is_fitted,is_swing,is_longline,is_off_shoulder,is_batwing,is_long_sleeve,is_short_sleeve
nova-lux-long-sleeve-tie-top-1#NightSky,nova-lux-long-sleeve-tie-top-1,nightsky,top,unknown,plain,unknown,longline,long,unknown,long,unknown,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
tracie-top#Opal,tracie-top,opal,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,opal,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leopard-print-kimono#GoldMulti,leopard-print-kimono,goldmulti,kimono,layering,animal,unknown,unknown,unknown,unknown,unknown,gold,1,1,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
the-tie-detail-hoody#Pink,the-tie-detail-hoody,pink,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,pink,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-off-the-shoulder-tee#Stripe,belle-off-the-shoulder-tee,stripe,top,casual,stripe,unknown,unknown,unknown,off_shoulder,unknown,stripe,1,2,1,0,5,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
the-contrast-panel-top#SageStripe,the-contrast-panel-top,sagestripe,top,unknown,stripe,unknown,unknown,unknown,unknown,unknown,stripe,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-stripe-jersey-top#Blue,the-stripe-jersey-top,blue,top,casual,stripe,jersey,unknown,unknown,unknown,unknown,blue,1,2,1,1,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
napoleon-top-1#NemoBlue,napoleon-top-1,nemoblue,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,blue,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-longline-cardi-1#Nude,the-longline-cardi-1,nude,unknown,unknown,plain,unknown,longline,unknown,unknown,long,nude,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
bo-cosy-cardigan#Blossom,bo-cosy-cardigan,blossom,cardigan,relaxed,plain,cosy,relaxed,unknown,unknown,unknown,unknown,1,2,0,1,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
wellington-tee#Olive,wellington-tee,olive,top,casual,plain,unknown,unknown,unknown,unknown,unknown,olive,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-relaxed-long-sleeve-tee-1#Ink%20Stripe,the-relaxed-long-sleeve-tee-1,ink-stripe,top,relaxed,stripe,unknown,relaxed,long,unknown,long,stripe,1,2,1,0,6,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
milan-stretch-top#Black,milan-stretch-top,black,top,fitted,plain,stretch,fitted,unknown,unknown,unknown,black,1,1,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
mila-knit-cardigan#StoneBlack,mila-knit-cardigan,stoneblack,cardigan,layering,plain,knit,unknown,unknown,unknown,unknown,black,1,1,0,1,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
on-the-horizon-swing-top-1#Khaki,on-the-horizon-swing-top-1,khaki,top,relaxed,plain,unknown,swing,unknown,unknown,unknown,khaki,1,1,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
sequin-heart-layered-top#Natural,sequin-heart-layered-top,natural,top,unknown,sequin,sequin,unknown,unknown,unknown,unknown,red,1,0,1,1,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
the-excess-shirt#Pearl,the-excess-shirt,pearl,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-cowl-swing-sweater#Green,belle-cowl-swing-sweater,green,top,relaxed,plain,unknown,swing,unknown,cowl,unknown,green,2,3,0,0,8,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
stara-cardigan#GreyMarle,stara-cardigan,greymarle,cardigan,layering,plain,unknown,unknown,unknown,unknown,unknown,grey,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-half-sleeve-tee#Black,the-half-sleeve-tee,black,top,casual,plain,unknown,unknown,short,unknown,unknown,black,1,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
falling-for-you-cardi#Teal,falling-for-you-cardi,teal,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,teal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-batwing-tee#FrenchBlue,the-batwing-tee,frenchblue,top,relaxed,plain,unknown,relaxed,batwing,unknown,unknown,blue,1,2,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
true-love-bell-blouse#Jade,true-love-bell-blouse,jade,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,jade,1,2,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
foil-spot-tee-1#Navy,foil-spot-tee-1,navy,top,casual,spot,unknown,unknown,unknown,unknown,unknown,navy,1,1,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vivian-blouse#Check,vivian-blouse,check,top,elegant,check,unknown,unknown,unknown,unknown,unknown,unknown,1,1,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
lilly-layer-stripe-tank#NavyWhite,lilly-layer-stripe-tank,navywhite,top,casual,stripe,unknown,unknown,unknown,unknown,unknown,white,1,1,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reversible-scoopv-neck-tank#Black,reversible-scoopv-neck-tank,black,top,casual,plain,unknown,unknown,unknown,v_neck,unknown,black,1,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-essential-pullover#SkyBlue,the-essential-pullover,skyblue,top,casual,plain,unknown,unknown,unknown,unknown,unknown,blue,1,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-drape-tee#Sliver,belle-drape-tee,sliver,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
maui-stretch-tee#Black,maui-stretch-tee,black,top,fitted,plain,stretch,fitted,unknown,unknown,unknown,black,1,2,0,1,5,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
the-cut-out-shoulder-blouse#Salmon,the-cut-out-shoulder-blouse,salmon,top,elegant,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
layered-sleeve-top#Moss,layered-sleeve-top,moss,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,red,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
millie-top#BlackSpot,millie-top,blackspot,top,unknown,spot,unknown,unknown,unknown,unknown,unknown,black,1,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
softly-swinging-bamboo-tee#Chambray,softly-swinging-bamboo-tee,chambray,top,relaxed,plain,unknown,swing,unknown,unknown,unknown,unknown,1,2,0,0,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
coil-print-hi-lo-shirt#White,coil-print-hi-lo-shirt,white,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,white,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
raspberry-ls-tee#WhiteRaspb,raspberry-ls-tee,whiteraspb,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mila-knit-cardigan#Clay,mila-knit-cardigan,clay,cardigan,layering,plain,knit,unknown,unknown,unknown,unknown,unknown,1,1,0,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cara-tee-3#Mustard,cara-tee-3,mustard,top,casual,plain,unknown,unknown,unknown,unknown,unknown,unknown,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-v-neck-stripe-top#BlkStripe,the-v-neck-stripe-top,blkstripe,top,unknown,stripe,unknown,unknown,unknown,v_neck,unknown,stripe,1,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
elcos-top#LightGrey,elcos-top,lightgrey,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,grey,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
belle-deep-v-mesh-top#Black,belle-deep-v-mesh-top,black,top,romantic,plain,unknown,unknown,unknown,unknown,unknown,black,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
milan-stretch-top#Navy,milan-stretch-top,navy,top,fitted,plain,stretch,fitted,unknown,unknown,unknown,navy,1,1,0,1,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
walk-in-the-park-cardi#Sand,walk-in-the-park-cardi,sand,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,unknown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the-frill-wrap-blouse#Spot,the-frill-wrap-blouse,spot,top,elegant,spot,unknown,unknown,unknown,unknown,unknown,unknown,2,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
paige-top#Black,paige-top,black,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,black,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long-sleeve-softly-swinging-bamboo-tee#Combat,long-sleeve-softly-swinging-bamboo-tee,combat,top,relaxed,plain,unknown,swing,long,unknown,long,unknown,1,2,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
sugar-snaps-layers-tank#White,sugar-snaps-layers-tank,white,top,casual,plain,unknown,unknown,unknown,unknown,unknown,white,1,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
long-sleeve-softly-swinging-bamboo-tee#Copper,long-sleeve-softly-swinging-bamboo-tee,copper,top,relaxed,plain,unknown,swing,long,unknown,long,unknown,1,2,0,0,6,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0
buttoned-top#Spotty,buttoned-top,spotty,top,unknown,spot,unknown,unknown,unknown,unknown,unknown,unknown,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
