person_id,positive_product_id,negative_product_id,negative_type,negative_distance
Alex,jade-kimono-kaleidoscope#Blue,millie-top#Blush,hard,0.42041965192108866
Alex,jade-kimono-kaleidoscope#Blue,silver-dot-tie-sleeve-blouse#SilverDotP,semi-hard,0.46309146632422493
Alex,jade-kimono-kaleidoscope#Blue,voyager-stripe-crew#Stripe,random,0.6206896551724138
Alex,jade-kimono-sweet-blossoms#Blue,layered-top-2#White,hard,0.39429151228720194
Alex,jade-kimono-sweet-blossoms#Blue,the-cotton-cardi#Navy,semi-hard,0.4998935717326522
Alex,jade-kimono-sweet-blossoms#Blue,sugar-snaps-layers-tank#White,random,0.6901176529409289
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,bamboo-layer-tank#Chalk,hard,0.272773712159488
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,ava-short-sleeve-linen-tee#Blush,semi-hard,0.5007833369004346
Alex,lola-bell-sleeve-top-ditsy-daisies#Blue,the-shoulder-tie-top#White,random,0.7490578064841714
Alex,lola-bell-sleeve-top-entangled-vines#Gold,eco-78-long-cardigan#LightGreyM,hard,0.3458925267474118
Alex,lola-bell-sleeve-top-entangled-vines#Gold,llama-long-sleeve-shirt#Mustard,semi-hard,0.5789919469277707
Alex,lola-bell-sleeve-top-entangled-vines#Gold,the-belle-sleeve-print-top#NavyPrint,random,0.7986842805449127
Alex,the-batwing-tee#Black,animal-button-up-shirt#KhakiPrint,hard,0.40191991916129854
Alex,the-batwing-tee#Black,the-contrast-panel-top#BlkStripe,semi-hard,0.5926990208599404
Alex,the-batwing-tee#Black,tab-sleeve-longline-shirt#Navy,random,0.7715382744118376
Alex,the-batwing-tee#FrenchBlue,mila-knit-cardigan#StoneBlack,hard,0.3309924231260438
Alex,the-batwing-tee#FrenchBlue,the-lace-trim-top#Black,semi-hard,0.5889966426364893
Alex,the-batwing-tee#FrenchBlue,contrast-stripe-sweater#Pockets,random,0.7493630567894217
Alex,the-batwing-tee#Sea,henson-jumper#Cream,hard,0.2761552583750859
Alex,the-batwing-tee#Sea,horizontal-cabel-pullover#EnglishRos,semi-hard,0.49123465269298605
Alex,the-batwing-tee#Sea,moonlight-kisses-bamboo-tee#Black,random,0.6336599972106438
Alex,the-batwing-tee#Stone,block-vest#Blockvest,hard,0.43138044772383854
Alex,the-batwing-tee#Stone,natural-textured-poncho#Deeprain,semi-hard,0.5632183908045977
Alex,the-batwing-tee#Stone,on-the-horizon-swing-top-1#Khaki,random,0.9080810632534771
Alex,the-cotton-bamboo-tank#Chambray,the-long-sleeve-v-neck-tee#Black,hard,0.3389508234156222
Alex,the-cotton-bamboo-tank#Chambray,the-relaxed-long-sleeve-tee#Black,semi-hard,0.5449088303494434
Alex,the-cotton-bamboo-tank#Chambray,the-striped-top#BlueStripe,random,0.7309368650364819
Alex,the-cotton-bamboo-tank#DarkNavy,lenka-lurex-stripe-blouse#NavyGoldSt,hard,0.4085010017122086
Alex,the-cotton-bamboo-tank#DarkNavy,kimberly-spliced-top#Black,semi-hard,0.45353214659967533
Alex,the-cotton-bamboo-tank#DarkNavy,clio-knit-jumper#Clay,random,0.7004221654604796
Alex,the-cotton-bamboo-tank#DuckEgg,layered-top-2#White,hard,0.39429151228720194
Alex,the-cotton-bamboo-tank#DuckEgg,shell-top-3#PapBlue,semi-hard,0.5777636117075773
Alex,the-cotton-bamboo-tank#DuckEgg,belle-deep-v-mesh-top#Black,random,0.7505905087622042
Alex,the-cotton-bamboo-tank#Moonbeam,the-uneven-hem-knit-1#Sage,hard,0.36400462962962965
Alex,the-cotton-bamboo-tank#Moonbeam,the-reversible-cowl-neck-top-1#White,semi-hard,0.5149401055920452
Alex,the-cotton-bamboo-tank#Moonbeam,triangle-detail-long-sleeve-tee#Navy,random,0.6622738691704209
Alex,the-cotton-bamboo-tank#White,ynes#Black,hard,0.3266896072212164
Alex,the-cotton-bamboo-tank#White,waterfall-cardi-1#Navy,semi-hard,0.4862763453819488
Alex,the-cotton-bamboo-tank#White,the-daily-cross-over-top#SkyBlue,random,0.632183908045977
Alex,the-cotton-bamboo-tee#BlueJeans,falling-for-you-cardi#Navy,hard,0.3333333333333333
Alex,the-cotton-bamboo-tee#BlueJeans,the-french-cuff-shirt#White,semi-hard,0.5883104812253519
Alex,the-cotton-bamboo-tee#BlueJeans,clio-knit-jumper#Black,random,0.7004221654604796
