person_id,positive_product_id,negative_product_id,negative_type,negative_distance
Fiona,the-tie-detail-hoody#Pink,natural-textured-poncho#Deeprain,hard,0.0198895027624309
Fiona,the-tie-detail-hoody#Pink,wonderland-blouse#Ink,hard,0.029034976521913555
Jess,belle-off-the-shoulder-tee#Stripe,cara-tee-2#Blush,hard,0.02465728715728717
Jess,belle-off-the-shoulder-tee#Stripe,cara-tee-2#WhiteBlk,hard,0.02465728715728717
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,natural-textured-poncho#Deeprain,hard,0.0198895027624309
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,wonderland-blouse#Ink,hard,0.029034976521913555
Laura,milan-stretch-top#Black,cara-tee-2#Blush,hard,0.009805425338985667
Laura,milan-stretch-top#Black,cara-tee-2#WhiteBlk,hard,0.009805425338985667
Chelsea,falling-for-you-cardi#Teal,voyager-stripe-crew#Stripe,hard,0.027118644067796627
Chelsea,falling-for-you-cardi#Teal,makeover-blouse#LimeGreen,hard,0.027118644067796627
Maddy,the-batwing-tee#FrenchBlue,natural-textured-poncho#Deeprain,hard,0.026966292134831427
Maddy,the-batwing-tee#FrenchBlue,voyager-stripe-crew#Stripe,hard,0.02921348314606742
Chesska,true-love-bell-blouse#Jade,voyager-stripe-crew#Stripe,hard,0.01849710982658964
Chesska,true-love-bell-blouse#Jade,makeover-blouse#LimeGreen,hard,0.01849710982658964
Riina,the-essential-pullover#SkyBlue,voyager-stripe-crew#Stripe,hard,0.022857142857142854
Riina,the-essential-pullover#SkyBlue,makeover-blouse#LimeGreen,hard,0.022857142857142854
Laura,belle-drape-tee#Sliver,cara-tee-2#Blush,hard,0.009805425338985667
Laura,belle-drape-tee#Sliver,cara-tee-2#WhiteBlk,hard,0.009805425338985667
Chelsea,millie-top#BlackSpot,voyager-stripe-crew#Stripe,hard,0.027118644067796627
Chelsea,millie-top#BlackSpot,makeover-blouse#LimeGreen,hard,0.027118644067796627
Gemma,cara-tee-3#Mustard,voyager-stripe-crew#Stripe,hard,0.025000000000000022
Gemma,cara-tee-3#Mustard,makeover-blouse#LimeGreen,hard,0.025000000000000022
Fiona,walk-in-the-park-cardi#Sand,natural-textured-poncho#Deeprain,hard,0.0198895027624309
Fiona,walk-in-the-park-cardi#Sand,wonderland-blouse#Ink,hard,0.029034976521913555
Fiona,paige-top#Black,natural-textured-poncho#Deeprain,hard,0.0198895027624309
Fiona,paige-top#Black,wonderland-blouse#Ink,hard,0.029034976521913555
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,side-buttoned-sweater#Buttoned,hard,0.0066981036406044
Mae-Lee,long-sleeve-softly-swinging-bamboo-tee#Combat,voyager-stripe-crew#Stripe,hard,0.01849710982658964
Mae-Lee,sugar-snaps-layers-tank#White,side-buttoned-sweater#Buttoned,hard,0.0066981036406044
Mae-Lee,sugar-snaps-layers-tank#White,voyager-stripe-crew#Stripe,hard,0.01849710982658964
Jess,buttoned-top#Spotty,cara-tee-2#Blush,hard,0.02465728715728717
Jess,buttoned-top#Spotty,cara-tee-2#WhiteBlk,hard,0.02465728715728717
Ljubenka,softly-swinging-bamboo-tee#Jewel,the-uneven-hem-knit-1#Sage,hard,0.02003205128205128
Ljubenka,softly-swinging-bamboo-tee#Jewel,natural-textured-poncho#Deeprain,hard,0.0222222222222222
Natalia,the-relaxed-batwing-top#Denim%20Blue,voyager-stripe-crew#Stripe,hard,0.011764705882352955
Natalia,the-relaxed-batwing-top#Denim%20Blue,makeover-blouse#LimeGreen,hard,0.011764705882352955
Mercy,belle-v-neck-forgiver-tunic#Scarlett,voyager-stripe-crew#Stripe,hard,0.01849710982658964
Mercy,belle-v-neck-forgiver-tunic#Scarlett,makeover-blouse#LimeGreen,hard,0.01849710982658964
Stacey,the-oversize-knit#Ink,makeover-blouse#LimeGreen,hard,0.009467455621301801
Stacey,the-oversize-knit#Ink,cara-tee-2#Blush,hard,0.04007527669805984
Shadae,monaco-knot-top#Black,voyager-stripe-crew#Stripe,hard,0.027118644067796627
Shadae,monaco-knot-top#Black,makeover-blouse#LimeGreen,hard,0.027118644067796627
Fiona,the-essential-pullover#DustyPeach,natural-textured-poncho#Deeprain,hard,0.0198895027624309
Fiona,the-essential-pullover#DustyPeach,wonderland-blouse#Ink,hard,0.029034976521913555
Chelsea,millie-top#Moss,voyager-stripe-crew#Stripe,hard,0.027118644067796627
Chelsea,millie-top#Moss,makeover-blouse#LimeGreen,hard,0.027118644067796627
Monique,hannah-tee-1#Black,voyager-stripe-crew#Stripe,hard,0.022857142857142854
