person_id,positive_product_id,negative_product_id,negative_type
Fiona,the-tie-detail-hoody#Pink,natural-textured-poncho#Deeprain,hard
Fiona,the-tie-detail-hoody#Pink,wonderland-blouse#Ink,hard
Fiona,the-tie-detail-hoody#Pink,luxe-shirt#Navy,random
Jess,belle-off-the-shoulder-tee#Stripe,cara-tee-2#Blush,hard
Jess,belle-off-the-shoulder-tee#Stripe,cara-tee-2#WhiteBlk,hard
Jess,belle-off-the-shoulder-tee#Stripe,the-define-flute-sleeve-blouse#Black,random
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,natural-textured-poncho#Deeprain,hard
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,wonderland-blouse#Ink,hard
Fiona,the-relaxed-long-sleeve-tee-1#Ink%20Stripe,ditzy-floral-ruffle-blouse#DitzyFlora,random
Laura,milan-stretch-top#Black,cara-tee-2#Blush,hard
Laura,milan-stretch-top#Black,cara-tee-2#WhiteBlk,hard
Laura,milan-stretch-top#Black,leah-knit-cardigan#Black,random
Chelsea,falling-for-you-cardi#Teal,voyager-stripe-crew#Stripe,hard
Chelsea,falling-for-you-cardi#Teal,makeover-blouse#LimeGreen,hard
Chelsea,falling-for-you-cardi#Teal,the-button-up-swing-tunic#Wine,random
Maddy,the-batwing-tee#FrenchBlue,natural-textured-poncho#Deeprain,hard
Maddy,the-batwing-tee#FrenchBlue,voyager-stripe-crew#Stripe,hard
Maddy,the-batwing-tee#FrenchBlue,the-curve-striped-tank#Marine,random
Chesska,true-love-bell-blouse#Jade,voyager-stripe-crew#Stripe,hard
Chesska,true-love-bell-blouse#Jade,makeover-blouse#LimeGreen,hard
Chesska,true-love-bell-blouse#Jade,belle-v-neck-forgiver-tunic#DenimMarl,random
Riina,the-essential-pullover#SkyBlue,voyager-stripe-crew#Stripe,hard
Riina,the-essential-pullover#SkyBlue,makeover-blouse#LimeGreen,hard
Riina,the-essential-pullover#SkyBlue,the-short-sleeve-wrap-jersey-top#Emerald,random
Laura,belle-drape-tee#Sliver,cara-tee-2#Blush,hard
Laura,belle-drape-tee#Sliver,cara-tee-2#WhiteBlk,hard
Laura,belle-drape-tee#Sliver,hem-frill-stripe-top#Frilled,random
Chelsea,millie-top#BlackSpot,voyager-stripe-crew#Stripe,hard
Chelsea,millie-top#BlackSpot,makeover-blouse#LimeGreen,hard
Chelsea,millie-top#BlackSpot,the-cut-out-shoulder-blouse#White,random
Gemma,cara-tee-3#Mustard,voyager-stripe-crew#Stripe,hard
Gemma,cara-tee-3#Mustard,makeover-blouse#LimeGreen,hard
Gemma,cara-tee-3#Mustard,softly-falling-bamboo-tunic#White,random
