person_id,positive_count,category_top,category_top_share,category_1,category_1_share,category_2,category_2_share,category_3,category_3_share,style_top,style_top_share,style_1,style_1_share,style_2,style_2_share,style_3,style_3_share,pattern_top,pattern_top_share,pattern_1,pattern_1_share,pattern_2,pattern_2_share,pattern_3,pattern_3_share,material_top,material_top_share,material_1,material_1_share,material_2,material_2_share,material_3,material_3_share,silhouette_top,silhouette_top_share,silhouette_1,silhouette_1_share,silhouette_2,silhouette_2_share,silhouette_3,silhouette_3_share,sleeve_type_top,sleeve_type_top_share,sleeve_type_1,sleeve_type_1_share,sleeve_type_2,sleeve_type_2_share,sleeve_type_3,sleeve_type_3_share,neckline_top,neckline_top_share,neckline_1,neckline_1_share,neckline_2,neckline_2_share,neckline_3,neckline_3_share,length_style_top,length_style_top_share,length_style_1,length_style_1_share,length_style_2,length_style_2_share,length_style_3,length_style_3_share,color_top,color_top_share,color_1,color_1_share,color_2,color_2_share,color_3,color_3_share
Alex,37,top,0.918918918918919,top,0.918918918918919,kimono,0.08108108108108109,unknown,0.0,elegant,0.40540540540540543,elegant,0.40540540540540543,casual,0.35135135135135137,relaxed,0.10810810810810811,plain,0.972972972972973,plain,0.972972972972973,floral,0.02702702702702703,unknown,0.0,unknown,0.8918918918918919,unknown,0.8918918918918919,jersey,0.10810810810810811,unknown,0.0,unknown,0.8918918918918919,unknown,0.8918918918918919,relaxed,0.10810810810810811,unknown,0.0,unknown,0.7297297297297297,unknown,0.7297297297297297,short,0.10810810810810811,batwing,0.10810810810810811,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8918918918918919,unknown,0.8918918918918919,short,0.10810810810810811,unknown,0.0,unknown,0.35135135135135137,unknown,0.35135135135135137,blue,0.21621621621621623,white,0.13513513513513514
Amanda,108,top,0.7592592592592593,top,0.7592592592592593,unknown,0.21296296296296297,cardigan,0.018518518518518517,unknown,0.5648148148148148,unknown,0.5648148148148148,casual,0.17592592592592593,elegant,0.14814814814814814,plain,0.8148148148148148,plain,0.8148148148148148,stripe,0.1388888888888889,spot,0.037037037037037035,unknown,0.8518518518518519,unknown,0.8518518518518519,knit,0.10185185185185185,jersey,0.027777777777777776,unknown,0.8611111111111112,unknown,0.8611111111111112,relaxed,0.07407407407407407,longline,0.037037037037037035,unknown,0.9166666666666666,unknown,0.9166666666666666,batwing,0.05555555555555555,bell,0.018518518518518517,unknown,0.9444444444444444,unknown,0.9444444444444444,v_neck,0.037037037037037035,off_shoulder,0.018518518518518517,unknown,0.9444444444444444,unknown,0.9444444444444444,long,0.037037037037037035,mid,0.018518518518518517,unknown,0.23148148148148148,unknown,0.23148148148148148,blue,0.12962962962962962,grey,0.12037037037037036
Anna,87,top,0.9310344827586207,top,0.9310344827586207,unknown,0.034482758620689655,cardigan,0.034482758620689655,casual,0.3448275862068966,casual,0.3448275862068966,elegant,0.2413793103448276,unknown,0.14942528735632185,plain,0.9655172413793104,plain,0.9655172413793104,stripe,0.022988505747126436,spot,0.011494252873563218,unknown,0.8160919540229885,unknown,0.8160919540229885,jersey,0.09195402298850575,stretch,0.09195402298850575,unknown,0.7701149425287356,unknown,0.7701149425287356,relaxed,0.10344827586206896,fitted,0.09195402298850575,unknown,0.7241379310344828,unknown,0.7241379310344828,short,0.13793103448275862,long,0.09195402298850575,unknown,0.9540229885057471,unknown,0.9540229885057471,v_neck,0.04597701149425287,unknown,0.0,unknown,0.8505747126436781,unknown,0.8505747126436781,long,0.09195402298850575,short,0.04597701149425287,unknown,0.2413793103448276,unknown,0.2413793103448276,white,0.19540229885057472,black,0.1839080459770115
Anna Maria,18,top,0.5,top,0.5,unknown,0.5,unknown,0.0,unknown,0.7777777777777778,unknown,0.7777777777777778,romantic,0.2222222222222222,unknown,0.0,plain,0.7222222222222222,plain,0.7222222222222222,stripe,0.2222222222222222,spot,0.05555555555555555,unknown,0.9444444444444444,unknown,0.9444444444444444,textured,0.05555555555555555,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.8888888888888888,unknown,0.8888888888888888,bell,0.1111111111111111,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,navy,0.2777777777777778,navy,0.2777777777777778,grey,0.2222222222222222,unknown,0.2222222222222222
Anneliese,3,top,1.0,top,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,black,0.6666666666666666,black,0.6666666666666666,opal,0.3333333333333333,unknown,0.0
Bree,6,top,1.0,top,1.0,unknown,0.0,unknown,0.0,romantic,1.0,romantic,1.0,unknown,0.0,unknown,0.0,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,short,1.0,short,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.3333333333333333,unknown,0.3333333333333333,white,0.16666666666666666,pink,0.16666666666666666
Charlotte,13,top,0.38461538461538464,top,0.38461538461538464,unknown,0.3076923076923077,cardigan,0.23076923076923078,unknown,0.6153846153846154,unknown,0.6153846153846154,layering,0.3076923076923077,relaxed,0.07692307692307693,plain,1.0,plain,1.0,unknown,0.0,unknown,0.0,unknown,0.5384615384615384,unknown,0.5384615384615384,knit,0.3076923076923077,textured,0.07692307692307693,unknown,0.8461538461538461,unknown,0.8461538461538461,cropped,0.07692307692307693,relaxed,0.07692307692307693,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9230769230769231,unknown,0.9230769230769231,short,0.07692307692307693,unknown,0.0,natural,0.6153846153846154,natural,0.6153846153846154,blue,0.15384615384615385,red,0.15384615384615385
Chelsea,88,top,0.625,top,0.625,unknown,0.2727272727272727,cardigan,0.056818181818181816,unknown,0.5909090909090909,unknown,0.5909090909090909,casual,0.18181818181818182,elegant,0.09090909090909091,plain,0.8977272727272727,plain,0.8977272727272727,stripe,0.056818181818181816,spot,0.03409090909090909,unknown,0.9204545454545454,unknown,0.9204545454545454,knit,0.06818181818181818,jersey,0.011363636363636364,unknown,0.9431818181818182,unknown,0.9431818181818182,oversized,0.03409090909090909,relaxed,0.022727272727272728,unknown,0.9772727272727273,unknown,0.9772727272727273,short,0.022727272727272728,unknown,0.0,unknown,0.9090909090909091,unknown,0.9090909090909091,v_neck,0.03409090909090909,cowl,0.03409090909090909,unknown,0.9772727272727273,unknown,0.9772727272727273,short,0.022727272727272728,unknown,0.0,unknown,0.23863636363636365,unknown,0.23863636363636365,navy,0.20454545454545456,black,0.20454545454545456
Chesska,11,top,0.6363636363636364,top,0.6363636363636364,unknown,0.36363636363636365,unknown,0.0,romantic,0.36363636363636365,romantic,0.36363636363636365,unknown,0.2727272727272727,elegant,0.2727272727272727,plain,0.8181818181818182,plain,0.8181818181818182,check,0.09090909090909091,spot,0.09090909090909091,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9090909090909091,unknown,0.9090909090909091,crew,0.09090909090909091,unknown,0.0,unknown,0.9090909090909091,unknown,0.9090909090909091,mid,0.09090909090909091,unknown,0.0,unknown,0.36363636363636365,unknown,0.36363636363636365,white,0.2727272727272727,red,0.09090909090909091
Clementine,62,top,1.0,top,1.0,unknown,0.0,unknown,0.0,elegant,0.3387096774193548,elegant,0.3387096774193548,casual,0.3387096774193548,unknown,0.27419354838709675,plain,0.8709677419354839,plain,0.8709677419354839,stripe,0.08064516129032258,spot,0.04838709677419355,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9838709677419355,unknown,0.9838709677419355,swing,0.016129032258064516,unknown,0.0,unknown,1.0,unknown,1.0,unknown,0.0,unknown,0.0,unknown,0.9516129032258065,unknown,0.9516129032258065,off_shoulder,0.03225806451612903,v_neck,0.016129032258064516,unknown,0.9838709677419355,unknown,0.9838709677419355,mid,0.016129032258064516,unknown,0.0,unknown,0.41935483870967744,unknown,0.41935483870967744,blue,0.11290322580645161,black,0.08064516129032258
