person_id,height,bust,waist,hips,product_id,garment_bust,garment_waist,garment_hip,garment_length,garment_sleeve,label_status,bust_ease,waist_ease,hip_ease,bust_ratio,waist_ratio,hip_ratio,bust_mismatch,waist_mismatch,hip_mismatch,bust_relative_mismatch,waist_relative_mismatch,hip_relative_mismatch,mean_ease,ease_std,known_fit_dimensions,tight_dimension_count,extreme_ease_count,length_height_ratio,physical_mismatch,missing_measurement_count,measurement_complete,category,style,pattern,material,silhouette,sleeve_type,neckline,length_style,color,preference_score,physical_score,personalized_score,is_positive,rank
Emma,174.0,81.0,64.0,91.0,nova-lux-long-sleeve-tie-top-1#NightSky,100.0,104.0,106.0,60.0,73.0,unknown,19.0,40.0,15.0,1.2345679012345678,1.625,1.164835164835165,19.0,40.0,15.0,0.2345679012345679,0.625,0.1648351648351648,24.666666666666668,13.428824718989125,3,0,0,0.3448275862068966,0.3414676886899109,0,True,top,unknown,plain,unknown,longline,long,unknown,long,unknown,0.439080459770115,0.7921548522062499,0.6156176559881825,False,268.0
Emma,174.0,81.0,64.0,91.0,tracie-top#Opal,127.0,129.0,135.0,55.0,66.0,unknown,46.0,65.0,44.0,1.567901234567901,2.015625,1.4835164835164836,46.0,65.0,44.0,0.5679012345679012,1.015625,0.4835164835164835,51.666666666666664,11.590225767142472,3,0,1,0.3160919540229885,0.6890142393614616,0,True,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,opal,0.5670498084291188,0.4958334596688045,0.5314416340489616,False,495.0
Emma,174.0,81.0,64.0,91.0,leopard-print-kimono#GoldMulti,,,158.0,89.0,57.0,unknown,,,67.0,,,1.7362637362637363,,,67.0,,,0.7362637362637363,67.0,,1,0,1,0.5114942528735632,0.7362637362637363,2,False,kimono,layering,animal,unknown,unknown,unknown,unknown,unknown,gold,0.0,0.7585212309094035,0.37926061545470174,False,833.0
Emma,174.0,81.0,64.0,91.0,the-tie-detail-hoody#Pink,134.0,,,70.0,69.0,unknown,53.0,,,1.654320987654321,,,53.0,,,0.654320987654321,,,53.0,,1,0,1,0.4022988505747126,0.654320987654321,2,False,unknown,unknown,plain,unknown,unknown,unknown,unknown,unknown,pink,0.40229885057471265,0.7871166182477817,0.5947077344112471,False,331.0
Emma,174.0,81.0,64.0,91.0,belle-off-the-shoulder-tee#Stripe,121.0,117.0,129.0,67.0,64.0,unknown,40.0,53.0,38.0,1.4938271604938271,1.828125,1.4175824175824177,40.0,53.0,38.0,0.4938271604938271,0.828125,0.4175824175824176,43.666666666666664,8.144527815247079,3,0,1,0.3850574712643678,0.5798448593587483,0,True,top,casual,stripe,unknown,unknown,unknown,off_shoulder,unknown,stripe,0.27586206896551724,0.6557592302551997,0.46581064961035845,False,676.0
Emma,174.0,81.0,64.0,91.0,the-contrast-panel-top#SageStripe,130.0,,,73.0,,unknown,49.0,,,1.6049382716049383,,,49.0,,,0.6049382716049383,,,49.0,,1,0,0,0.4195402298850574,0.6049382716049383,3,False,top,unknown,stripe,unknown,unknown,unknown,unknown,unknown,stripe,0.37931034482758624,0.8071817294886409,0.5932460371581135,False,337.0
Emma,174.0,81.0,64.0,91.0,the-stripe-jersey-top#Blue,136.0,108.0,108.0,70.0,52.0,unknown,55.0,44.0,17.0,1.6790123456790125,1.6875,1.1868131868131868,55.0,44.0,17.0,0.6790123456790124,0.6875,0.1868131868131868,38.666666666666664,19.55334583474995,3,0,1,0.4022988505747126,0.5177751774973997,0,True,top,casual,stripe,jersey,unknown,unknown,unknown,unknown,blue,0.25517241379310346,0.6732154371663007,0.46419392547970206,False,679.0
Emma,174.0,81.0,64.0,91.0,napoleon-top-1#NemoBlue,100.0,110.0,108.0,60.0,54.0,unknown,19.0,46.0,17.0,1.2345679012345678,1.71875,1.1868131868131868,19.0,46.0,17.0,0.2345679012345679,0.71875,0.1868131868131868,27.333333333333332,16.19670748434179,3,0,0,0.3448275862068966,0.3800436960159182,0,True,top,unknown,plain,unknown,unknown,unknown,unknown,unknown,blue,0.5670498084291188,0.7898531463313581,0.6784514773802384,False,142.0
Emma,174.0,81.0,64.0,91.0,the-longline-cardi-1#Nude,97.0,108.0,115.0,102.0,,unknown,16.0,44.0,24.0,1.1975308641975309,1.6875,1.2637362637362637,16.0,44.0,24.0,0.1975308641975308,0.6875,0.2637362637362637,28.0,14.422205101855956,3,0,0,0.5862068965517241,0.3829223759779315,1,False,unknown,unknown,plain,unknown,longline,unknown,unknown,long,nude,0.26436781609195403,0.8458953495053447,0.5551315827986494,False,450.0
Emma,174.0,81.0,64.0,91.0,bo-cosy-cardigan#Blossom,112.0,114.0,116.0,82.0,75.0,unknown,31.0,50.0,25.0,1.382716049382716,1.78125,1.2747252747252746,31.0,50.0,25.0,0.382716049382716,0.78125,0.2747252747252747,35.333333333333336,13.05118130030126,3,0,0,0.4712643678160919,0.4795637747026635,0,True,cardigan,relaxed,plain,cosy,relaxed,unknown,unknown,unknown,unknown,0.22528735632183902,0.8540426624716005,0.5396650093967198,False,477.0
